Date,RADM,Benchmark_60_40,RADM_REAL,Benchmark_60_40_REAL,Regime
2005-02-28,-0.00100000,0.01105680,0.00000000,0.00000000,RY-POS
2005-03-31,0.00000000,-0.01487272,-0.00362506,-0.01844387,RY-POS
2005-04-30,0.00000000,-0.00434968,-0.00309757,-0.00743378,RY-POS
2005-05-31,0.00000000,0.02264518,0.00051653,0.02317341,RY-POS
2005-06-30,0.00000000,0.00441395,-0.00051626,0.00389541,RY-POS
2005-07-31,0.00000000,0.01881559,-0.00615700,0.01254274,RY-POS
2005-08-31,0.00000000,-0.00089924,-0.00611933,-0.00701306,RY-POS
2005-09-30,0.00000000,0.00106954,-0.01358149,-0.01252647,RY-POS
2005-10-31,0.00000000,-0.01815455,-0.00150678,-0.01963397,RY-POS
2005-11-30,0.00000000,0.02787012,0.00504796,0.03305877,RY-POS
2005-12-31,0.00000000,0.00338789,0.00000000,0.00338789,RY-POS
2006-01-31,0.00000000,0.01417021,-0.00602107,0.00806382,RY-POS
2006-02-28,0.00161799,0.00407831,0.00111568,0.00357476,RY-POS
2006-03-31,0.00380097,0.00643285,0.00229301,0.00492093,RY-POS
2006-04-30,0.00540872,0.00698309,0.00039921,0.00196573,RY-POS
2006-05-31,-0.01558573,-0.01886680,-0.01851990,-0.02179119,RY-POS
2006-06-30,0.00048481,0.00092110,-0.00199409,-0.00155889,RY-POS
2006-07-31,0.00891633,0.00824277,0.00344660,0.00277669,RY-POS
2006-08-31,0.01831677,0.01945747,0.01381979,0.01495545,RY-POS
2006-09-30,0.01801778,0.02024696,0.02303759,0.02527776,RY-POS
2006-10-31,0.01862796,0.02165269,0.02316864,0.02620686,RY-POS
2006-11-30,0.01577607,0.01617898,0.01527321,0.01567592,RY-POS
2006-12-31,0.00214162,0.00562111,-0.00328603,0.00017462,RY-POS
2007-01-31,0.00775559,0.00874309,0.00608621,0.00707207,RY-POS
2007-02-28,0.00018823,-0.00526865,-0.00367587,-0.00911166,RY-POS
2007-03-31,0.00234907,0.00617288,-0.00283630,0.00096772,RY-POS
